epoch,loss,accuracy,precision,recall,f1
1,0.7114984273910523,0.5830696105957032,0.11882694532708109,0.9224429858152886,0.21053346296587902
2,0.6239222407341003,0.7809303283691407,0.21567191805054498,0.9993543772588884,0.3547786186812397
3,0.5797534465789795,0.8866817474365234,0.34715902846466645,0.9997025071683113,0.515354759135115
4,0.5477494359016418,0.927362060546875,0.45345516027821553,0.9998734073056644,0.6239439123136171
5,0.5299883604049682,0.9387039184570313,0.4957677786251636,0.9998607480362308,0.6628634492482386
6,0.5145793437957764,0.951019287109375,0.5516606776808133,0.999911385113965,0.7110359944727757
7,0.4999587297439575,0.9575504302978516,0.5867365887718569,0.9999556925569826,0.7395392274581675
8,0.49106928110122683,0.9638347625732422,0.6249861526531516,0.9998860665750979,0.76918657165186
9,0.4833661079406738,0.9709724426269531,0.6749558834211392,0.9998670776709476,0.8058955273374725
10,0.4766727685928345,0.9745693206787109,0.7032883372215197,0.9998734073056644,0.8257575163552441
11,0.47260635495185854,0.9748268127441406,0.7054173904888646,0.9998417591320805,0.8272124090763888
12,0.4664674401283264,0.9773277282714844,0.7266805591973613,0.9998797369403811,0.8416655566507711
13,0.4629882454872131,0.97886962890625,0.740446136034461,0.9998860665750979,0.8508281043815474
14,0.4576852560043335,0.9803001403808593,0.75368196065896,0.9999177147486819,0.8595119562556109
15,0.45225428938865664,0.9823566436767578,0.7735998746302573,0.9998670776709476,0.8722993624769799
16,0.4484025537967682,0.9812732696533203,0.762962676763774,0.9999303740181155,0.8655199524439587
17,0.44391109347343444,0.982272720336914,0.7727272727272727,0.9999620221916993,0.8717804394191477
18,0.4396121144294739,0.9841930389404296,0.7922283066554339,0.9999746814611329,0.8840608500768039
19,0.43754367232322694,0.9835964202880859,0.7860661365920648,0.9999683518264161,0.8802083768612539
20,0.43312814831733704,0.9843254089355469,0.7936181008022586,0.9999556925569826,0.884918078700462
21,0.4293596982955933,0.9850509643554688,0.8012618616516796,0.9999810110958497,0.8896597551498497
22,0.4251803278923035,0.9852684020996094,0.8035849622836332,0.9999810110958497,0.8910898907458276
23,0.421034449338913,0.9851943969726562,0.8027897050229935,0.9999873407305664,0.8906032436820358
24,0.4199268341064453,0.9847408294677734,0.7979685227089057,0.9999873407305664,0.8876284865901997
25,0.4153062582015991,0.9865234375,0.8172680479035721,0.9999683518264161,0.8994340890199607
26,0.41111021041870116,0.9864429473876953,0.8163638618465927,0.9999936703652832,0.8988964783463391
27,0.41107132434844973,0.9863700866699219,0.8155589396794259,0.9999936703652832,0.8984083115819642
28,0.4065662682056427,0.9863109588623047,0.8149133937874614,0.9999810110958497,0.8980113854365318
29,0.4021234273910522,0.986737060546875,0.8196292664705608,0.9999936703652832,0.9008724411244797
30,0.40028148889541626,0.9876636505126953,0.8301105552986674,0.9999556925569826,0.9071516139868331
